A1		
B1		
C1	0.01uF	
C2	1uF	
C3	1uF	
C4	1uF	
C5	1uF	
C6	1uF	
C7	470nF	
C8	100nF	
C9	470nF	
C10	1uF	
C11	1uF	
C12	10uF	
C13	10uF	
C14	33pF	
C15	10uF	
C16	10uF	
C17	10uF	
C18	10uF	
C19	0.1uF	
C20	10uF	
C21	1uF	
C22	1uF	
C23	10nF	
C24	1nF	
C25	100pF	
C26	0.1uF	
C27	1uF	
C28	10uF	
C29	1uF	
C30	10uF	
C31	1uF	
C32	10uF	
C33	0.1uF	
C34	0.33uF	
C35	1uF	
C36	10uF	
C37	0.1uF	
C38	10uF	
C39	10nF	
C40	0.1uF	
C41	0.1uF	
C42	10uF	
C43	0.33uF	
C44	4.7uF	
C45	1uF	
C46	75pF	
C47	1uF	
C48	10uF	
C49	0.1uF	
C50	100pF	
C51	1uF	
C52	1uF	
C53	1uF	
C54	1uF	
C55	1uF	
C56	1uF	
C57	1uF	
C58	0.1uF	
C59	0.1uF	
C60	0.1uF	
D1		
D2		
D3		
D4		
D5		
D6		
J1	Sunflower Node 20 pin connector	
J2	USB_MINI_B	
J3	XBee module	
J4		
J5		
J6		
L1	3.3uH	
L2	2.2uH	
L3	2.2uH	
L4	15uH	
L5	15uH	
R1	665k	
R2	332k	
R3	47k	
R4	4.7k	
R5	100k	
R6	1k	
R7	4.7k	
R8	820k	
R9	220k	
R10	4.7k	
R11	10k	
R12	47k	
R13	12k	
R14	4.99k	
R15	10k	
R16	10k	
R17	10k	
R18	4.99k	
R19	10k	
R20	10k	
R21	10k	
R22	10k	
R23	10k	
R24	10k	
R25	22k	
R26	47R	
Rsense		
SW1		
SW2	TPCx133G	
SW3		
SW4		
U1	HMC6352	
U2	SCP1000-D01	
U3	MSP430F23x0	
U4	TPS62420	
U5	MAX1555	
U6	SHT1X	
U7	MSP430x22x4	
U8	LT5534	
U9	INA193	
U10	TS5A1066	
U11	TS5A1066	
U13	TS5A1066	
U14	TS5A1066	
U15	TS5A1066	
U16	TS5A1066	
U17	TS5A1066	
U18	Powertip PPT9999-A003-05-Q OLED	
U19	FT232RQ	
U20	TS5A1066	
U21	microSD	
U22	TS5A1066	
U23	LT3471	
U24	M41T65	
X1		
